year,product_hs,product,partner_code,partner_name,tons,value_usd
2010,252310,clinker,430,430,23750.0,910889
2010,252310,clinker,226,226,30000.0,1184900
2010,252310,clinker,266,266,22000.0,852390
2010,252310,clinker,478,Mauritania,178140.0,7137072
2010,252310,clinker,120,Cameroon,65090.0,2778235
2010,252310,clinker,384,CotedIvoire,34950.0,1450425
2010,252310,clinker,288,Ghana,166695.0,6063929
2010,252310,clinker,100,100,567.75,48259
2010,252310,clinker,838,838,18860.0,1724928
2010,252310,clinker,31,31,2150.0,92450
2010,252310,clinker,196,196,75950.0,3240735
2010,252310,clinker,368,368,0.524,368
2010,252310,clinker,276,276,4.97,2128
2010,252310,clinker,76,76,203315.0,8400708
2010,252310,clinker,686,Senegal,298568.0,12217229
2010,252310,clinker,620,620,13900.0,602700
2010,252310,clinker,788,788,39000.0,1618500
2010,252310,clinker,724,Spain,198285.75,8143176
2010,252310,clinker,682,682,68400.0,5647433
2010,252310,clinker,434,Libya,4629.28,277757
2010,252310,clinker,826,UK,27.026,9672
2010,252310,clinker,818,Egypt,176169.0,6895242
2010,252310,clinker,760,Syria,229831.16,12594384
2010,252310,clinker,251,251,6350.0,339764
2010,252310,clinker,300,300,12300.0,1106527
2010,252310,clinker,380,380,553332.288,22627253
2010,252310,clinker,642,Romania,18652.15,830417
2010,252310,clinker,268,268,131392.85,5759021
2011,252310,clinker,268,268,90319.58,4224245
2011,252310,clinker,838,838,7520.0,705102
2011,252310,clinker,196,196,3804.36,172170
2011,252310,clinker,276,276,2.7,410
2011,252310,clinker,694,694,79610.0,3479700
2011,252310,clinker,204,Benin,120325.0,5117418
2011,252310,clinker,768,Togo,44000.0,1877920
2011,252310,clinker,324,Guinea,21600.0,993600
2011,252310,clinker,120,Cameroon,112540.0,4787220
2011,252310,clinker,384,CotedIvoire,99620.0,3984800
2011,252310,clinker,32,32,74350.0,3309650
2011,252310,clinker,226,226,22399.0,942690
2011,252310,clinker,288,Ghana,298600.0,12822522
2011,252310,clinker,76,76,558288.0,24315426
2011,252310,clinker,620,620,4150.0,186750
2011,252310,clinker,208,208,1.45,833
2011,252310,clinker,724,Spain,206040.0,8801770
2011,252310,clinker,56,56,22000.0,1001000
2011,252310,clinker,682,682,41850.0,3635551
2011,252310,clinker,804,804,5.0,357
2011,252310,clinker,760,Syria,13457.34,807440
2011,252310,clinker,376,Israel,33300.0,1392300
2011,252310,clinker,251,251,11700.0,678600
2011,252310,clinker,300,300,33647.895,3189616
2011,252310,clinker,380,380,399533.0,17923162
2011,252310,clinker,642,Romania,100567.0,4960351
2012,252310,clinker,694,694,36000.0,1530760
2012,252310,clinker,204,Benin,242462.0,10316635
2012,252310,clinker,266,266,49677.674,2087235
2012,252310,clinker,178,178,8001.0,520065
2012,252310,clinker,768,Togo,234953.618,10080618
2012,252310,clinker,430,430,20100.0,867717
2012,252310,clinker,214,DominicanRep,132000.0,5907000
2012,252310,clinker,226,226,56004.817,2345699
2012,252310,clinker,478,Mauritania,104940.0,4604293
2012,252310,clinker,384,CotedIvoire,143760.723,6328455
2012,252310,clinker,120,Cameroon,25550.0,1149750
2012,252310,clinker,288,Ghana,645470.0,27208323
2012,252310,clinker,76,76,354335.0,15475897
2012,252310,clinker,566,566,98950.0,4452750
2012,252310,clinker,208,208,0.6,386
2012,252310,clinker,788,788,17120.225,701929
2012,252310,clinker,724,Spain,58135.7,2532035
2012,252310,clinker,56,56,86667.0,3976349
2012,252310,clinker,784,784,40400.0,2828000
2012,252310,clinker,682,682,25083.0,2013865
2012,252310,clinker,804,804,62758.85,2718907
2012,252310,clinker,376,Israel,11035.0,491058
2012,252310,clinker,398,398,2.7,342
2012,252310,clinker,300,300,35433.301,2459988
2012,252310,clinker,251,251,16500.0,800250
2012,252310,clinker,380,380,158270.0,7141520
2012,252310,clinker,642,Romania,119457.0,5607879
2012,252310,clinker,100,100,26.1,914
2012,252310,clinker,196,196,3000.0,129000
2012,252310,clinker,268,268,190747.48,8822439
2012,252310,clinker,276,276,9.049,2925
2013,252310,clinker,478,Mauritania,141690.0,5876878
2013,252310,clinker,268,268,83455.0,3934064
2013,252310,clinker,642,Romania,173250.0,7785350
2013,252310,clinker,376,Israel,207364.0,8953512
2013,252310,clinker,76,76,199110.0,8718295
2013,252310,clinker,204,Benin,76125.0,3252567
2013,252310,clinker,288,Ghana,185250.0,7766613
2013,252310,clinker,694,694,101300.0,4220373
2013,252310,clinker,682,682,16740.0,1404272
2013,252310,clinker,196,196,16900.0,736950
2013,252310,clinker,214,DominicanRep,126245.0,5338759
2013,252310,clinker,784,784,45710.0,3222555
2013,252310,clinker,380,380,72232.2,4021637
2013,252310,clinker,31,31,32412.273,1449240
2013,252310,clinker,300,300,45327.9,2669425
2013,252310,clinker,398,398,15.461,706
2013,252310,clinker,124,124,22000.0,1530540
2013,252310,clinker,643,643,5600.0,246400
2013,252310,clinker,858,858,66360.0,2741452
2013,252310,clinker,724,Spain,81190.0,3503915
2013,252310,clinker,430,430,73300.0,3132615
2013,252310,clinker,768,Togo,173200.0,7278888
2013,252310,clinker,818,Egypt,130554.0,5510670
2013,252310,clinker,804,804,3000.0,135000
2013,252310,clinker,788,788,43866.0,1883516
2013,252310,clinker,276,276,0.08,911
